sentiment,xie_hou_yu
3,(犬肖)狗四界走－死啊
1,䟉仔麵－䟉䟉趒(嚓嚓趒)
3,一丈差九尺－差遠咧
3,一丈欠九尺－差遠咧
2,一世人嫁一個尫－(不二媳)不二價
3,一丘棺材睏兩人－死對頭
3,一二三五六七八九十－無寫四(無捨世)
3,一二三五六七八九十－無寫四(無捨施)
1,一二三五六七－(無四)無事
3,一二四五六－(欠三)欠衫
2,一個一斤，一個十六兩－兩個相當
3,一個人食圓仔－獨吞
3,一個錢，拍廿四個結－凍酸
3,一堆臭狗屎－愈挪愈臭
1,一孔掠雙隻－好孔
1,一孔掠雙隻－好孔(好康)
3,一學屎看三擔－差儕咧
3,一屎礐玉仔看三檐－差遠咧
3,一手夯香一手夯統－(射神)謝神
3,一手夯香，一手夯槍－射神(謝神)
2,一日夫妻－(寡緊)趕緊
2,一日夫妻－寡緊(趕緊)
3,一條索仔扑歸拜百個結－難解
3,一條索仔扑歸百個結－僫敨
3,一條腸仔通尻川－吃啥放啥
2,一欉藤仔結的瓜－苦攏苦，甜攏甜
3,一畚箕塗蚓拄著鴨母－無夠看
3,一畚箕杜蚓拄著鴨母－無夠看
3,一畚箕的塗蚓拄著鴨母－無夠看
3,一盤魚脯仔－全全頭
3,一盤魚脯仔－專專頭
1,一目仔看戲－一目了然
1,一目兮看戲－一目了然
2,一碗飯貯半點鐘－(僫貯)澳底
2,一碗飯貯半點鐘－澳底
3,一礐屎仔看做三擔－差相儕
1,一空掠雙隻－好空
1,一粒匏仔切兩爿－天生一對
3,一粒田螺九碗湯－無味
3,一粒田螺九碗湯－無味無素
3,一粒田螺煮九碗湯－無味
2,一角分作兩半－五分五分
2,一角分兩半－五分五分
2,一角分兩爿－五分五分
3,一部二十四史－嘸知對何講起
2,一間貨賣了了－(通銷)通宵
2,一間貨賣了了－通銷(通宵)
3,一隻豬食十二桶潘－大肚
1,一面抹牆兩面光－會周旋
3,一領被仔三支腿－應付朆了
2,一骹踏上磅仔台－舉足輕重
3,一鹿九鞭－假的較多
3,丁梅仔給請－假無意
3,七個人睏兩頭－顛三倒四
3,七元對分－不三不四
3,七十吸奶嘴仔－老人囝仔性
3,七十嗍奶喙仔－老人囡仔性
3,七十歲吮奶嘴仔－老人囡仔性
3,七月半鴨仔－嘸知死活
3,七月半鴨－姆知死
3,七月半鴨－毋知死活
1,七月紅蟳－厚膏
3,三代好額一代乞食－(散短)散底
3,三代好額，一代乞食－散短(散底)
3,三代粒積，一代開空－了尾仔
3,三代粒積－一代開空
3,三保師父－無夠看
2,三個人放無屎－(無便)無變
2,三個人放無屎－無便(無變)
